Date,Open,High,Low,Close,Adj Close,Volume
2019-08-12,10550.000000,10725.000000,10450.000000,10625.000000,10564.108398,1685100
2019-08-13,10625.000000,11175.000000,10350.000000,11075.000000,11011.529297,5485700
2019-08-14,11200.000000,11250.000000,10800.000000,11175.000000,11110.956055,2188800
2019-08-15,11000.000000,11100.000000,10800.000000,11075.000000,11011.529297,2610500
2019-08-16,11075.000000,11075.000000,10500.000000,10950.000000,10887.246094,2283900
2019-08-19,10950.000000,10950.000000,10650.000000,10650.000000,10588.964844,446300
2019-08-20,10675.000000,10800.000000,10375.000000,10400.000000,10340.397461,495500
2019-08-21,10425.000000,10700.000000,10250.000000,10400.000000,10340.397461,566700
2019-08-22,10550.000000,10575.000000,10250.000000,10575.000000,10514.394531,817600
2019-08-23,10650.000000,10800.000000,10500.000000,10650.000000,10588.964844,881200
2019-08-26,10300.000000,10950.000000,10125.000000,10800.000000,10738.105469,2109000
2019-08-27,10800.000000,10875.000000,10500.000000,10500.000000,10439.824219,532700
2019-08-28,10500.000000,10650.000000,10450.000000,10525.000000,10464.681641,279100
2019-08-29,10525.000000,10575.000000,10500.000000,10500.000000,10439.824219,835700
2019-08-30,10500.000000,10650.000000,10500.000000,10500.000000,10439.824219,339100
2019-09-02,10500.000000,10650.000000,10500.000000,10500.000000,10439.824219,598600
2019-09-03,10500.000000,10700.000000,10500.000000,10525.000000,10464.681641,793300
2019-09-04,10525.000000,10525.000000,10425.000000,10450.000000,10390.111328,309500
2019-09-05,10475.000000,10525.000000,10400.000000,10400.000000,10340.397461,553100
2019-09-06,10400.000000,10475.000000,10350.000000,10400.000000,10340.397461,280800
2019-09-09,10400.000000,10475.000000,10350.000000,10350.000000,10290.684570,258500
2019-09-10,10350.000000,10550.000000,10350.000000,10500.000000,10439.824219,451800
2019-09-11,10575.000000,10600.000000,10425.000000,10500.000000,10439.824219,229600
2019-09-12,10600.000000,10600.000000,10325.000000,10325.000000,10265.827148,336500
2019-09-13,10325.000000,10575.000000,10325.000000,10475.000000,10414.967773,465800
2019-09-16,10550.000000,10725.000000,10550.000000,10700.000000,10638.678711,902500
2019-09-17,10650.000000,11400.000000,10650.000000,11350.000000,11284.953125,5409800
2019-09-18,11350.000000,11350.000000,10850.000000,11225.000000,11160.669922,1110000
2019-09-19,11200.000000,11275.000000,10900.000000,10925.000000,10862.388672,405200
2019-09-20,10900.000000,11150.000000,10800.000000,10925.000000,10862.388672,992500
2019-09-23,10925.000000,11075.000000,10675.000000,10800.000000,10738.105469,252700
2019-09-24,10800.000000,10825.000000,10400.000000,10425.000000,10365.254883,587200
2019-09-25,10400.000000,10750.000000,10350.000000,10700.000000,10638.678711,539600
2019-09-26,10700.000000,10800.000000,10500.000000,10750.000000,10688.391602,477200
2019-09-27,10750.000000,10850.000000,10550.000000,10550.000000,10489.538086,132200
2019-09-30,10550.000000,10775.000000,10550.000000,10775.000000,10713.249023,205600
2019-10-01,10725.000000,11100.000000,10675.000000,10975.000000,10912.102539,1220200
2019-10-02,11000.000000,11100.000000,10825.000000,10975.000000,10912.102539,879500
2019-10-03,10800.000000,10975.000000,10750.000000,10975.000000,10912.102539,317000
2019-10-04,10950.000000,10950.000000,10700.000000,10750.000000,10688.391602,317700
2019-10-07,10800.000000,10875.000000,10700.000000,10725.000000,10663.535156,60400
2019-10-08,10725.000000,10950.000000,10625.000000,10750.000000,10688.391602,416400
2019-10-09,10900.000000,10925.000000,10650.000000,10925.000000,10862.388672,447200
2019-10-10,10950.000000,11000.000000,10725.000000,10875.000000,10812.675781,235000
2019-10-11,10875.000000,10875.000000,10725.000000,10725.000000,10663.535156,230800
2019-10-14,10900.000000,10925.000000,10650.000000,10650.000000,10588.964844,227500
2019-10-15,10675.000000,10800.000000,10500.000000,10600.000000,10539.251953,385200
2019-10-16,10625.000000,10750.000000,10500.000000,10500.000000,10439.824219,588300
2019-10-17,10625.000000,10775.000000,10550.000000,10575.000000,10514.394531,329600
2019-10-18,10600.000000,10625.000000,10150.000000,10150.000000,10091.830078,793400
2019-10-21,10250.000000,10425.000000,10200.000000,10300.000000,10240.970703,564800
2019-10-22,10325.000000,10500.000000,10275.000000,10400.000000,10340.397461,638600
2019-10-23,10450.000000,10900.000000,10400.000000,10700.000000,10638.678711,1551700
2019-10-24,10800.000000,11125.000000,10625.000000,11000.000000,10936.958984,1230200
2019-10-25,11200.000000,11300.000000,10875.000000,10900.000000,10837.532227,1513000
2019-10-28,10900.000000,11050.000000,10800.000000,10900.000000,10837.532227,201600
